,0,TextBlob (mean),Human Annotation
370,sorry about that it is been brought to my attention and i am updating this video,-0.5,
371,very good man,0,
372,i find your video quite interesting and professional if i may suggest that you use your pointer an indicate the direction of the movement right left or top right toleft so that we can follow you on the screen,0,
373,jamel kahoul thank you i have really slowed down and use a circle pointer on my newer video to make following a lot easier i have to update the dropbox video soon,0,
374,sorry but a others have said this is not any good for beginner or dummy like me you obviously know your stuff but are blind to the fact that many of u are in our 60 and did not grow up with computer i gave up after a minute or two watching your presentation it did not help me at all,0,
375,no way can follow what he is saying much too fast not time allowed to view icon etc rushing through not displayed long enough to see,-0.5,
376,i am sorry about that working on a new much better and slower version now i have learned a lot since making this video two year ago,-0.5,
377,how do you rename a file or folder,-0.5,
378,have you made a newer version that can tell u how to go back to the old version of dropbox that we had until march of 2020,-0.5,
379,i have not used db for a while i tried to access some file the response wa this file can not be previewed please check to see if your file extension is correct what doe that mean what do i need to change thanks,-0.5,
380,can you make another or do you have on how to add a payment to watch on recieving film via drop box thank you linda,-0.5,
381,thank you for your guide here is to your growing community,-0.5,
382,thank you i learned a lot,-0.5,
383,it wa clear but wa too fast for me thank you though,-0.5,
384,what is the rush if you are going to go at the speed of light at least have a circle around your mouse so we can see where you are clicking sorry thumb down,-0.5,
385,you are going waaaaaaaaaaaay too fast for a beginner,-0.5,
386,i agree with the other comment much too fast a pace for beginner slow it down,-0.5,
387,thank you you are the best,-0.5,
388,very bad experience with dropbox do not use you never get rid of it,-0.5,
389,dropbox double bill and give no refund then try and find the close dropbox option it is hard to find and on some version no existent use dropbox at your own financial risk,-0.5,
390,no sense downloading dropbox it is impossible to figure out how to use it,-0.5,
391,too fast thank you,-0.5,
392,i appreciated how you said please consider instead of just please subscribe so i subscribed cheer,-0.5,
393,question if i am editing a document from my desktop and click save locally on the desktop will those change automatically sync to my dropbox of the same file and vice versa otherwise i would have to save it twice right once locally and then again in dropbox i am confused haha,-1,
394,can someone who doe not have dropbox on their phone send me i have dropbox photo from their phone if so how,-0.5,
395,pourquoi pa en fran ai,-0.5,
396,how can you be adding blurry video and claim to have a video producing business make no sense and make it harder to follow you,-0.5,
397,i am making an updated version of this video i made a mistake of using my actual client dropbox and had to blur everything for privacy i will use a demo account and update this soon,-1,
